10000000;Bundesbank;09
10010010;Postbank Ndl der DB Privat- und Firmenkundenbank;24
10010111;DSK Hyp;13
10010424;Aareal Bank;09
10011001;N26 Bank;09
10017997;Holvi Payment Services Zweigniederlassung Deutschland;09
10019610;Dexia Kommunalbank Deutschland;09
10019670;Dexia Kommunalbank Deutschland - DPB;09
10020200;BHF-BANK;60
10020500;Bank für Sozialwirtschaft;ER
10020510;Bank für Sozialwirtschaft;R0
10020520;Bank für Sozialwirtschaft;R0
10020890;UniCredit Bank - HypoVereinsbank;99
10030200;Berlin Hyp;09
10030400;ABK Allgemeine Beamten Bank;09
10030500;Bankhaus Löbbecke;XX
10030600;North Channel Bank;88
10030700;Eurocity Bank;16
10030730;Eurocity Bank Gf GAA;16
10031000;EIS Einlagensicherungsbank;09
10033300;Santander Consumer Bank;09
10040000;Commerzbank, Filiale Berlin 1;13
10040005;Commerzbank, Filiale Berlin 3;13
10040010;Commerzbank, CC SP;09
10040048;Commerzbank GF-B48;13
10040060;Commerzbank Gf 160;09
10040061;Commerzbank Gf 161;09
10040062;Commerzbank CC;09
10040063;Commerzbank CC;09
10040085;Commerzbank, Gf Web-K;13
10045050;Commerzbank Service-BZ;13
10050000;Landesbank Berlin - Berliner Sparkasse;B8
10050005;Landesbank Berlin - E 1 -;C6
10050006;Landesbank Berlin - E 2 -;D1
10050007;Landesbank Berlin - E 3 -;D4
10050008;Landesbank Berlin - E 4 -;E2
10050020;LBB S-Kreditpartner, Berlin;B8
10050500;LBS Ost Berlin;09
10050999;DekaBank;09
10060198;Pax-Bank;06
10061006;Bank für Kirche und Diakonie - KD-Bank Gf Sonder-BLZ;B0
10070000;Deutsche Bank Fil Berlin;63
10070024;DB Privat- und Firmenkundenbank (Deutsche Bank PGK) F 700;63
10070100;Deutsche Bank Fil Berlin II;63
10070124;DB Privat- und Firmenkundenbank (Deutsche Bank PGK) Berlin;63
10070848;DB Privat- und Firmenkundenbank (Deutsche Bank PGK) F 848;63
10077777;norisbank;63
10080000;Commerzbank vormals Dresdner Bank Filiale Berlin I;76
10080005;Commerzbank vormals Dresdner Bank Zw A;76
10080006;Commerzbank vormals Dresdner Bank Zw B;76
10080055;Commerzbank vormals Dresdner Bank Zw 55;76
10080057;Commerzbank vormals Dresdner Bank Gf ZW 57;76
10080085;Commerzbank vormals Dresdner Bank Gf PCC DCC-ITGK 3;09
10080086;Commerzbank vormals Dresdner Bank, PCC DCC-ITGK 4;09
10080087;Commerzbank vormals Dresdner Bank, PCC DCC-ITGK 5;09
10080088;Commerzbank vormals Dresdner Bank IBLZ;76
10080089;Commerzbank vormals Dresdner Bank, PCC DCC-ITGK 6;09
10080900;Commerzbank vormals Dresdner Bank Filiale Berlin III;76
10089260;Commerzbank vormals Dresdner Bank ITGK;09
10089999;Commerzbank vormals Dresdner Bank ITGK 2;09
10090000;Berliner Volksbank;06
10090300;Bank für Schiffahrt (BFS) Fil d Ostfr VB Leer;B0
10090603;apoBank;A4
10090900;PSD Bank Berlin-Brandenburg;91
10110300;Westend Bank;09
10110400;Investitionsbank Berlin;09
10110600;Quirin Privatbank;17
10120100;Weberbank;94
10120800;VON ESSEN Bank;09
10130600;Isbank Fil Berlin;06
10130800;FinTech Group Bank;01
10220500;Bank of Scotland Ndl Berlin;00
10220600;Sydbank Filiale Berlin;19
10310600;Tradegate Wertpapierhandelsbank Berlin;09
11010100;solarisBank;09
12016836;KfW Kreditanstalt für Wiederaufbau;00
12030000;Deutsche Kreditbank Berlin;00
12030900;Merck Finck Privatbankiers;10
12040000;Commerzbank Filiale Berlin 2;13
12050555;ZVA Norddeutsche Landesbank Gf SA;09
12060000;DZ BANK;09
12070000;Deutsche Bank Ld Brandenburg;63
12070024;DB Privat- und Firmenkundenbank (Deutsche Bank PGK);63
12070070;Deutsche Bank (Gf intern);09
12070088;DB Privat- und Firmenkundenbank (Deutsche Bank PGK) intern;09
12080000;Commerzbank vormals Dresdner Bank Filiale Berlin II;76
12090640;apoBank;A4
12096597;Sparda-Bank Berlin;A8
13000000;Bundesbank;09
13010111;DSK Hyp;13
13040000;Commerzbank;13
13050000;Ostseesparkasse Rostock;20
13051042;Sparkasse Vorpommern auf Rügen;RU
13061008;Volksbank Wolgast;32
13061028;Volksbank Raiffeisenbank ehem VB Greifswald;32
13061078;Volks- und Raiffeisenbank;32
13061088;Raiffeisenbank Wismar -alt-;32
13061128;Raiffeisenbank;32
13070000;Deutsche Bank;63
13070024;DB Privat- und Firmenkundenbank (Deutsche Bank PGK);63
13080000;Commerzbank vormals Dresdner Bank;76
